"St0" "St1" "Tin0" "Tin1" "Tout0" "Tout1" "W0"
"430" "low" "high" "<18" "18-24" "18-24" ">24" "closed"
"431" "low" "low" "18-24" ">24" "<18" "<18" "closed"
"432" "low" "high" "18-24" "18-24" ">24" ">24" "open"
"433" "high" "high" ">24" "18-24" "<18" "<18" "closed"
"434" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"435" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"436" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"437" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"438" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"439" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"440" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"441" "high" "high" "18-24" "18-24" ">24" ">24" "open"
"442" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"443" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"444" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"445" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"446" "low" "low" "<18" "<18" "<18" "<18" "open"
"447" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"448" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"449" "high" "high" "<18" "<18" "<18" "<18" "closed"
"450" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"451" "low" "low" "18-24" "<18" "<18" "18-24" "open"
"452" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"453" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"454" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"455" "high" "high" "18-24" "18-24" "<18" "18-24" "closed"
"456" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"457" "high" "low" "18-24" "<18" "<18" "<18" "open"
"458" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"459" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"460" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"461" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"462" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"463" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"464" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"465" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"466" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"467" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"468" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"469" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"470" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"471" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"472" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"473" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"474" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"475" "high" "high" "18-24" "<18" "18-24" "18-24" "open"
"476" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"477" "low" "high" "18-24" "<18" "18-24" "18-24" "open"
"478" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"479" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"480" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"481" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"482" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"483" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"484" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"485" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"486" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"487" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"488" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"489" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"490" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"491" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"492" "high" "high" "18-24" "<18" "<18" "<18" "closed"
"493" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"494" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"495" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"496" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"497" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"498" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"499" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"500" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"501" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"502" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"503" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"504" "high" "low" "18-24" "18-24" "<18" "<18" "open"
"505" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"506" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"507" "high" "low" "<18" "<18" "18-24" "<18" "open"
"508" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"509" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"510" "high" "high" ">24" ">24" ">24" ">24" "closed"
"511" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"512" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"513" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"514" "low" "low" ">24" ">24" "18-24" ">24" "closed"
"515" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"516" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"517" "high" "low" "<18" "<18" "18-24" "<18" "open"
"518" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"519" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"520" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"521" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"522" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"523" "high" "high" "<18" "<18" "<18" "<18" "open"
"524" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"525" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"526" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"527" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"528" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"529" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"530" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"531" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"532" "high" "low" "18-24" "18-24" "18-24" "<18" "closed"
"533" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"534" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"535" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"536" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"537" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"538" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"539" "high" "high" ">24" ">24" "18-24" ">24" "closed"
"540" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"541" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"542" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"543" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"544" "high" "high" "18-24" ">24" "18-24" "18-24" "open"
"545" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"546" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"547" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"548" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"549" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"550" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"551" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"552" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"553" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"554" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"555" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"556" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"557" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"558" "low" "low" "<18" "18-24" "18-24" ">24" "open"
"559" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"560" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"561" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"562" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"563" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"564" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"565" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"566" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"567" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"568" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"569" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"570" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"571" "low" "low" "18-24" ">24" "18-24" ">24" "closed"
"572" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"573" "low" "low" "18-24" "<18" "<18" "<18" "closed"
"574" "low" "low" ">24" ">24" "18-24" "18-24" "open"
"575" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"576" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"577" "high" "high" "18-24" "18-24" "18-24" ">24" "closed"
"578" "low" "low" "18-24" ">24" ">24" ">24" "closed"
"579" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"580" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"581" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"582" "low" "low" "18-24" "<18" "<18" "<18" "open"
"583" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"584" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"585" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"586" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"587" "low" "low" "18-24" ">24" ">24" ">24" "open"
"588" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"589" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"590" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"591" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"592" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"593" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"594" "low" "low" "18-24" "18-24" ">24" ">24" "closed"
"595" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"596" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"597" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"598" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"599" "high" "high" "18-24" "<18" "<18" "<18" "open"
"600" "high" "low" "18-24" "<18" "<18" "18-24" "open"
"601" "high" "low" "18-24" "<18" "18-24" "<18" "open"
"602" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"603" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"604" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"605" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"606" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"607" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"608" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"609" "low" "low" "18-24" "18-24" "<18" ">24" "open"
"610" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"611" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"612" "high" "low" "<18" "18-24" "18-24" "18-24" "open"
"613" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"614" "high" "high" "<18" "<18" "<18" "<18" "closed"
"615" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"616" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"617" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"618" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"619" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"620" "high" "high" "18-24" ">24" ">24" ">24" "open"
"621" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"622" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"623" "high" "high" "<18" "<18" "18-24" "18-24" "closed"
"624" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"625" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"626" "high" "low" "18-24" "<18" "<18" "<18" "open"
"627" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"628" "low" "low" "18-24" "18-24" "<18" ">24" "open"
"629" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"630" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"631" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"632" "low" "low" "18-24" ">24" "18-24" ">24" "open"
"633" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"634" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"635" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"636" "high" "high" ">24" ">24" "18-24" "<18" "closed"
"637" "low" "high" "18-24" "18-24" "18-24" ">24" "open"
"638" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"639" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"640" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"641" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"642" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"643" "low" "low" "<18" "18-24" ">24" "18-24" "open"
"644" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"645" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"646" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"647" "high" "low" "<18" "18-24" ">24" "18-24" "open"
"648" "high" "low" "<18" "<18" "18-24" "18-24" "closed"
"649" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"650" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"651" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"652" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"653" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"654" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"655" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"656" "high" "high" "18-24" "<18" "<18" "<18" "open"
"657" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"658" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"659" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"660" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"661" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"662" "high" "low" "18-24" "<18" "<18" "<18" "open"
"663" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"664" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"665" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"666" "high" "high" "<18" "18-24" "18-24" ">24" "closed"
"667" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"668" "high" "low" "18-24" "18-24" "18-24" "<18" "open"
"669" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"670" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"671" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"672" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"673" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"674" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"675" "low" "low" "18-24" "<18" "<18" "<18" "open"
"676" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"677" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"678" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"679" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"680" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"681" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"682" "high" "low" "18-24" "<18" "<18" "<18" "open"
"683" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"684" "low" "low" "18-24" "<18" "<18" "<18" "open"
"685" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"686" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"687" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"688" "high" "high" "18-24" "18-24" "18-24" "<18" "open"
"689" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"690" "high" "low" "18-24" "18-24" "<18" "<18" "closed"
"691" "low" "low" "<18" "18-24" "18-24" ">24" "closed"
"692" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"693" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"694" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"695" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"696" "low" "low" "18-24" "<18" "<18" "<18" "open"
"697" "high" "high" "18-24" "18-24" "18-24" "<18" "closed"
"698" "high" "high" "<18" "18-24" ">24" ">24" "closed"
"699" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"700" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"701" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"702" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"703" "low" "low" "18-24" "<18" "18-24" "18-24" "open"
"704" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"705" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"706" "low" "low" "<18" ">24" ">24" ">24" "open"
"707" "low" "low" "<18" "<18" "18-24" "18-24" "closed"
"708" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"709" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"710" "low" "low" "18-24" "<18" "<18" "<18" "open"
"711" "low" "high" "18-24" "18-24" ">24" ">24" "closed"
"712" "low" "low" "18-24" ">24" "<18" "18-24" "open"
"713" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"714" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"715" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"716" "low" "high" "18-24" "18-24" ">24" "18-24" "open"
"717" "low" "low" "18-24" ">24" ">24" ">24" "open"
"718" "high" "high" "18-24" "<18" "18-24" "<18" "open"
"719" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"720" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"721" "high" "low" ">24" ">24" "18-24" "18-24" "closed"
"722" "high" "low" "18-24" ">24" "18-24" "18-24" "closed"
"723" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"724" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"725" "low" "low" "18-24" "<18" "<18" "<18" "open"
"726" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"727" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"728" "low" "low" ">24" "<18" "<18" "<18" "open"
"729" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"730" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"731" "high" "high" ">24" ">24" "18-24" ">24" "closed"
"732" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"733" "high" "high" ">24" ">24" "18-24" "18-24" "closed"
"734" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"735" "high" "low" "18-24" "18-24" "<18" "18-24" "open"
"736" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"737" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"738" "low" "low" "<18" "18-24" "18-24" "18-24" "closed"
"739" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"740" "low" "low" "<18" "<18" "<18" "<18" "open"
"741" "high" "low" "18-24" "18-24" "18-24" ">24" "closed"
"742" "high" "high" "18-24" "18-24" ">24" "18-24" "closed"
"743" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"744" "high" "low" "18-24" ">24" ">24" ">24" "open"
"745" "low" "high" ">24" ">24" "18-24" "18-24" "closed"
"746" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"747" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"748" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"749" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"750" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"751" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"752" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"753" "high" "low" "18-24" "<18" "<18" "<18" "open"
"754" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"755" "low" "low" "18-24" "18-24" ">24" ">24" "open"
"756" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"757" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"758" "low" "low" "18-24" "18-24" "18-24" "<18" "closed"
"759" "low" "low" "18-24" ">24" "18-24" "18-24" "open"
"760" "low" "high" "18-24" ">24" "18-24" "18-24" "closed"
"761" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"762" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"763" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"764" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"765" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"766" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"767" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"768" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"769" "high" "low" "18-24" ">24" "18-24" "18-24" "open"
"770" "low" "low" "18-24" "18-24" "<18" "18-24" "closed"
"771" "low" "low" "18-24" "18-24" "18-24" "<18" "open"
"772" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"773" "low" "high" "18-24" ">24" "18-24" "18-24" "open"
"774" "high" "low" "18-24" "18-24" "18-24" ">24" "open"
"775" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"776" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"777" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"778" "low" "low" "<18" "18-24" ">24" ">24" "closed"
"779" "high" "low" "18-24" "<18" "18-24" "18-24" "open"
"780" "high" "low" "18-24" "18-24" ">24" "18-24" "open"
"781" "low" "low" "18-24" "18-24" "18-24" ">24" "closed"
"782" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"783" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"784" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"785" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"786" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"787" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"788" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"789" "low" "low" "18-24" "<18" "<18" "<18" "open"
"790" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"791" "low" "high" "18-24" "18-24" "<18" "18-24" "open"
"792" "high" "high" "18-24" ">24" "18-24" ">24" "closed"
"793" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"794" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"795" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"796" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"797" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"798" "low" "high" "18-24" ">24" ">24" ">24" "closed"
"799" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"800" "low" "high" "18-24" "18-24" "<18" "<18" "closed"
"801" "low" "high" "<18" "18-24" "18-24" "18-24" "open"
"802" "high" "high" "<18" "18-24" "18-24" "18-24" "open"
"803" "low" "low" ">24" ">24" "18-24" "18-24" "closed"
"804" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"805" "high" "high" "18-24" "18-24" "<18" "<18" "closed"
"806" "low" "low" "18-24" "18-24" "<18" "<18" "open"
"807" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"808" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"809" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"810" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"811" "low" "low" "18-24" "18-24" ">24" "18-24" "closed"
"812" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"813" "high" "low" "<18" "18-24" "18-24" ">24" "closed"
"814" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"815" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"816" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"817" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"818" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"819" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"820" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"821" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"822" "low" "low" ">24" "18-24" "18-24" "18-24" "open"
"823" "low" "high" "18-24" "<18" "<18" "<18" "open"
"824" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"825" "low" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"826" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"827" "high" "high" "18-24" "18-24" "18-24" "18-24" "open"
"828" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"829" "high" "high" "18-24" "18-24" "<18" "<18" "open"
"830" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"831" "low" "low" "18-24" "<18" "<18" "<18" "open"
"832" "low" "low" "18-24" "<18" "18-24" "<18" "open"
"833" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"834" "high" "high" "<18" "<18" "<18" "18-24" "closed"
"835" "low" "low" "<18" "18-24" "18-24" "18-24" "open"
"836" "high" "high" "18-24" ">24" ">24" ">24" "closed"
"837" "low" "low" "18-24" "18-24" "18-24" ">24" "open"
"838" "high" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"839" "low" "low" "18-24" "18-24" "18-24" "18-24" "open"
"840" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"841" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"842" "high" "high" "18-24" "18-24" ">24" ">24" "closed"
"843" "high" "high" "18-24" "18-24" "18-24" "18-24" "closed"
"844" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"845" "low" "high" "18-24" "18-24" "18-24" "18-24" "open"
"846" "high" "low" "18-24" "18-24" "18-24" "18-24" "open"
"847" "low" "low" "18-24" "18-24" "18-24" "18-24" "closed"
"848" "high" "high" "<18" "18-24" "18-24" "18-24" "closed"
"849" "high" "high" "18-24" ">24" "<18" "<18" "closed"
"850" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"851" "high" "low" "18-24" "18-24" ">24" ">24" "open"
"852" "low" "low" "18-24" ">24" "18-24" "18-24" "closed"
"853" "low" "low" "18-24" "18-24" "<18" "<18" "closed"
"854" "high" "low" "18-24" "18-24" "18-24" ">24" "closed"
"855" "low" "low" "18-24" "<18" "<18" "<18" "open"
"856" "high" "high" "<18" "18-24" "<18" "<18" "closed"
"857" "high" "high" "18-24" ">24" "18-24" "18-24" "closed"
"858" "low" "high" "18-24" "18-24" "18-24" ">24" "closed"
"859" "low" "low" "18-24" "<18" "18-24" "<18" "open"
